Book ID,Title,Author,Genre,Publishing year,Overview
13,The Count Of Monte Cristo,Alexandre Dumas,Fiction,1998,"The Count of Monte Cristo is a novel by Alexandre Dumas about love, betrayal, jealousy and revenge. After all, what's a love story without jealousy, betrayal, and revenge?This particular novel tells the story of Edmond Dantes, a well-adept sailor aboard the ship Pharaon. During the voyage, the captain of the Pharaon dies, and Dantes takes over, impressing the ship's owner. Dantes is promised a captainship when he returns to port in Marseilles. Also set to marry his fiancÈ Mercedes, things are looking up for Dantes.This wouldn't be much of a revenge story without a villain or betrayal. Unfortunately, Dantes' success has incurred jealousy, which has created more than one enemy for him."
14,Around The World In 80 Days,Jules Verne,Fiction,1994,"Jules Verne's famous novel Around the World in 80 Days is a story of extraordinary accomplishment. It describes the wonderful adventures of Phileas Fogg, an English gentleman who has agreed to a wager of 40,000 pounds that he can travel around the world in 80 days."
15,Three Men In A Boat,Jerome K,Fiction,1995,"This story relates the mild misadventures of three middle-class men who have decided to spend a fortnight boating on the Thames. The book has no heroes or villains. It is not ëaction packed.í There is no explicit sex or violence (although they do find a dead girl at one point, but sheís just floating by minding her own business, and her appearance does not delay them long).You can think of it as a Victorian English travelogue with commentary about the places they pass and the things they observe along the way. I found it delightful. It is witty, lighthearted, and simply pleasure to relax with for a quiet eveningís read."
16,Peter Pan,James Matthew Barrie and Joeming W Dunn,Fiction,1904,"Peter Pan (also known as the Boy Who Wouldn't Grow Up or Peter and Wendy) is the story of a mischievous little boy who can fly, and his adventures on the island of Neverland with Wendy Darling and her brothers, the fairy Tinker Bell, the Lost Boys, the Indian princess Tiger Lily, and the pirate Captain Hook."
17,The Invisible Man,H G Wells,Fiction,1897,"The plot is simple and straightforward. Griffin, having rendered himself invisible with an earlier experiment, enters a town and sets up a lab in an inn where he works night and day to come up with a formula that will reverse his invisibility. When he slips up and accidentally reveals himself, he engages in immature and violent actions until he is forced to run and find a new hiding place. As more people become aware of his existence, his situation becomes more perilous. Finally, he stumbles into the home of a former college professor whom he assumes will be interested in his experiments and willing to help him. The doctor, Mr. Kemp, however, reads newspaper accounts of Griffinís insane actions against people in the town and betrays his trust. Griffin is hunted down, caught and killed, whereupon he becomes visible again. The little, inconspicuous victim of some of Griffinís behavior is left with the stolen money and the documents that explain Griffinís experiments. The story closes with the suggestion that Marvel himself might try the experiments if only he could figure them out."
18,A Mordern Utopia,H G Wells,Fiction,1905,"In A Modern Utopia, two travelers fall into a space-warp and suddenly find themselves upon a Utopian Earth controlled by a single World Government.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators"
19,The Hunger Games,Suzanne Collins,Fiction,2008,"In order to control future rebellions by remembering the past rebellion, the Powers That Be of the dystopian society of Panem force two youngsters from each of the twelve districts to participate in The Hunger Games. The rules are very simple: the twenty-four players must kill each other and survive in the wilderness until only one remains. The games are broadcast through the Capital and the twelve districts to entertain and intimidate the population. In District 12, teenager Katniss Everdeen is a great hunter and archer. When her younger sister, Primrose Everdeen, is selected as one of the ""tributes"" of their district, Katniss volunteers to take her place in the games. Together with Peeta Mellark, they head by train to the Capital to be prepared for the brutal game."
20,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPr√©",Fiction,1997,"Harry Potter is an average bespectacled eleven-year-old boy who has lived with the Dursley family ever since his parents died in a car crash. For some reason, the family has always mistreated him. On his eleventh birthday, a giant man named Rubeus Hagrid (Robbie Coltrane) hands him a letter telling him that he has been accepted as a student at the Hogwarts School of Witchcraft and Wizardry. Harry learns that his parents were wizards and were killed by the evil wizard Voldemort (Richard Bremmer), a truth that was hidden from him all these years. He embarks for his new life as a student, gathering two good friends Ron Weasley (Rupert Grint) and Hermione Granger (Emma Watson) along the way. They soon learn that something very valuable is hidden somewhere inside the school and Voldemort is very anxious to lay his hands on it."
21,To Kill a Mockingbird,Harper Lee,Fiction,1960,"In†To Kill a Mockingbird, author†Harper Lee†uses memorable characters to explore†civil rights†and†racism†in the segregated Southern United States of the 1930s. Told through the eyes of†Scout Finch, you learn about her father†Atticus Finch, an attorney who hopelessly strives to prove the innocence of a black man unjustly accused of rape; and about†Boo Radley, a mysterious neighbor who saves Scout and her brother Jem from being killed."
22,The Hobbit or There and Back Again,J.R.R. Tolkien,Fiction,1937,"With his days of adventure and excitement nearly forgotten, the now 111-year-old Bilbo Baggins, has finally settled down for a more conventional, comfortable--and above all--safe way of living in his beloved green Shire. Almost sixty years before the formation of†The Lord of the Rings: The Fellowship of the Ring (2001), a knock at Bilbo's door from the wise Gandalf the Grey and an assortment of uncontrollable Dwarves led by King Thorin II Oakenshield prepared the ground for an unexpected quest to help them reclaim their homeland, Erebor. As the Lonely Mountain was taken over by the gargantuan gold-loving dragon, Smaug, this unlikely company would face challenge upon challenge that would later seal the fate of the entire Middle-earth."
23,The Catcher in the Rye,J.D. Salinger,Fiction,1951,"J.D. Salinger's†The Catcher in the Rye,†Holden Caulfield†recounts the days following his expulsion from Pencey Prep, a private school. After a fight with his roommate, Stradlater, Holden leaves school two days early to explore New York before returning home, interacting with teachers, prostitutes, nuns, an old girlfriend, and his sister along the way. J.D. Salinger's classic†The Catcher in the Rye†illustrates a teenager's dramatic struggle against death and growing up."
24,The Kite Runner,Khaled Hosseini,Fiction,2003,"The Kite Runner, by†Khaled Hosseini, follows the maturation of†Amir, a male from Afghanistan who needs to find his way in the world as he realizes that his own belief system is not that of his dominant culture. Set in Afghanistan and the United States,†The Kite Runner†is a†bildungsroman†that illustrates the similarities as well as the differences between the two countries and the two vastly different cultures. It is the story of both fathers and sons and friends and brothers, and it is a novel about right and wrong and the nature of evil. Published in 2003 to great critical and popular acclaim,†The Kite Runner†is considered a contemporary classic."
25,1984,"George Orwell, Erich Fromm, Cel√¢l √úster",Fiction,1949,"1984†is a dystopian novella by George Orwell published in 1949, which follows the life of Winston Smith, a low ranking member of 'the Party', who is frustrated by the omnipresent eyes of the party, and its ominous ruler Big Brother. 'Big Brother' controls every aspect of people's lives"
26,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Fiction,2009,"Katniss and Peeta's unprecedented co-victory in the 74th Hunger Games stirs an uprising. President Snow visits Katniss to threaten the lives of everyone she knows and holds dear if she doesn't do all she can to toe the line and quell the unrest. As her best efforts fail, Plutarch Heavensbee (a former games-master, now returned) meets with Snow to implement a Quarter Quell, by which to gather all former Hunger Game victors and have them eliminate each other. Katniss and Peeta end up in the Quarter Quell but must form alliances in order to survive; however, those with whom Katniss prefers to ally herself seem to be for emotional rather than tactical reasons."
27,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPr√©, Rufus Beck",Fiction,1999,"Harry Potter (Daniel Radcliffe) is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's (Richard Griffiths') sister Marge (Pam Ferris), who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black (Gary Oldman) has escaped from Azkaban Prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store."
28,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,Fiction,2010,"Suzanne Collinsí†Mockingjay†begins in the midst of a war, a revolution led against President Snow and the Capitol by rebels who have taken refuge in the previously believed destroyed District 13. Katniss agrees to be the Mockingjay, the face of the rebellion, to rally those fighting for the cause, but fulfilling this role becomes increasingly difficult as the Capitol uses Peeta against her. While there is no official Hunger Games in this novel, Katniss recognizes that she is fighting in just that. The rules in these Games, however, are different because more than one person can survive, and Snow is a player as well. Katnissí ultimate goals are to kill Snow and save Peeta; these are the thoughts that drive her forward during her grueling transformation into the Mockingjay."
29,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPr√©",Fiction,2003,"After a lonely summer on Privet Drive, Harry (Daniel Radcliffe) returns to a Hogwarts full of ill-fortune. Few of students and parents believe him or Dumbledore (Sir Michael Gambon) that Voldemort (Ralph Fiennes) is really back. The ministry had decided to step in by appointing a new Defense Against the Dark Arts teacher, Professor Dolores Umbridge (Imelda Staunton), who proves to be the nastiest person Harry has ever encountered. Harry also can't help stealing glances with the beautiful Cho Chang (Katie Leung). To top it off are dreams that Harry can't explain, and a mystery behind something for which Voldemort is searching. With these many things, Harry begins one of his toughest years at Hogwarts School of Witchcraft and Wizardry."
30,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPr√©",Fiction,1998,"When a crazy house-elf named Dobby (Toby Jones) arrives in Harry's (Daniel Radcliffe's) room, he warns him that there is a plot to destroy Hogwarts and that he shouldn't return. Harry then starts hearing voices through the walls, students being petrified, and a girl who died in a bathroom. He soon finds out that it is a basilisk roaming in the Chamber Of Secrets, under the control from a memory of Lord Voldemort. Is Voldemort still inactive? Or will it be a friend of his being controlled?"
31,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPr√©",Fiction,2000,"Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks."
32,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPr√©",Fiction,2007,"Voldemort's (Ralph Fiennes') power is growing stronger. He now has control over the Ministry of Magic and Hogwarts. Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) decide to finish Dumbledore's (Sir Michael Gambon's) work and find the rest of the Horcruxes to defeat the Dark Lord. But little hope remains for the trio, and the rest of the Wizarding World, so everything they do must go as planned."
33,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPr√©",Fiction,2005,"In Harry Potter's (Daniel Radcliffe's) sixth year at Hogwarts School of Witchcraft, he finds a book marked mysteriously, ""This book is the property of the Half Blood Prince"", which helps him excel at Potions class and teaches him a few dark and dangerous ones along the way. Meanwhile, Harry is taking private lessons with Dumbledore (Sir Michael Gambon) in order to find out about Voldemort's (Ralph Fiennes') past so they can find out what might be his only weakness."
34,Lord of the Flies,William Golding,Fiction,1954,"In†Lord of the Flies, British schoolboys are stranded on a tropical island. In an attempt to recreate the culture they left behind, they elect†Ralph†to lead, with the intellectual†Piggy†as counselor. But†Jack†wants to lead, too, and one-by-one, he lures the boys from civility and reason to the savage survivalism of primeval hunters. In†Lord of the Flies,†William Golding†gives us a glimpse of the savagery that underlies even the most civilized human beings."
35,The Help,Kathryn Stockett,Fiction,2009,"Set in Mississippi during the 1960s, Skeeter (Stone) is a southern society girl who returns from college determined to become a writer, but turns her friends' lives -- and a Mississippi town -- upside down when she decides to interview the black women who have spent their lives taking care of prominent southern families. Aibileen (Davis), Skeeter's best friend's housekeeper, is the first to open up -- to the dismay of her friends in the tight-knit black community. Despite Skeeter's life-long friendships hanging in the balance, she and Aibileen continue their collaboration and soon more women come forward to tell their stories -- and as it turns out, they have a lot to say. Along the way, unlikely friendships are forged and a new sisterhood emerges, but not before everyone in town has a thing or two to say themselves when they become unwittingly -- and unwillingly -- caught up in the changing times."
36,Of Mice and Men,John Steinbeck,Fiction,1937,"John Steinbeck's†Of Mice and Men†is a parable about what it means to be human. Steinbeck's story of†George†and†Lennie's ambition of owning their own ranch, and the obstacles that stand in the way of that ambition, reveal the nature of dreams, dignity, loneliness, and sacrifice. Ultimately, Lennie, the mentally handicapped giant who makes George's dream of owning his own ranch worthwhile, ironically becomes the greatest obstacle to achieving that dream."
37,Memoirs of a Geisha,Arthur Golden,Fiction,1997,"In 1929 an impoverished nine-year-old named Chiyo from a fishing village is sold to a geisha house in Kyoto's Gion district and subjected to cruel treatment from the owners and the head geisha Hatsumomo. Her stunning beauty attracts the vindictive jealousy of Hatsumomo, until she is rescued by and taken under the wing of Hatsumomo's bitter rival, Mameha. Under Mameha's mentorship, Chiyo becomes the geisha named Sayuri, trained in all the artistic and social skills a geisha must master in order to survive in her society. As a renowned geisha she enters a society of wealth, privilege, and political intrigue. As World War II looms Japan and the geisha's world are forever changed by the onslaught of history."
38,The Alchemist,"Paulo Coelho, Alan R. Clarke",Fiction,2011,"Santiago is a shepherd from Andalusia who, while resting in a church, dreams about pyramids and treasures. After having his dream interpreted by an old woman, and after learning the concept of ìPersonal Legends,î he sets out to find those pyramids. Significant stops in his journey include Tangier, where he works for a crystal merchant, and the oasis, where he falls in love with Fatima, a ìdesert woman,î and meets an alchemist."
39,"The Giver (The Giver, #1)",Lois Lowry,Fiction,1988,"A youth named Jonas lives in an equalized, literally colorless, but pleasant society with no knowledge of love or pain and such. When he and his best friends Asher and Fiona come of age, they receive their societal roles, with Jonas given the rare position of Receiver (of Memories). Because of this, he meets a mentoring elder Receiver (later called The Giver). They look at memories of the past world, of joy, of pain, and of love. As Jonas receives these memories, he breaks the cardinal rule against sharing them with others, thereby getting in trouble with the watchful Chief Elder. When Jonas discovers that an infant boy named Gabriel will be terminated, his efforts to save the child puts him squarely against his society. Deciding that all must re-learn to see color, to feel pain, and to show and receive love, Jonas becomes public enemy number one."
40,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C S Lewis,Fiction,1993,"During the World War II bombings of London, four English siblings are sent to a country house where they will be safe. One day Lucy finds a wardrobe that transports her to a magical, dystopian world called Narnia. After coming back, she soon returns to Narnia with her brothers, Peter and Edmund, and her sister, Susan. There they join the magical lion, Aslan, in the fight against the evil White Witch, Jadis."
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riorden,Fiction,2006,"It's the 21st century, but the gods of Mount Olympus and assorted monsters have walked out of the pages of high school student Percy Jackson's Greek mythology texts and into his life. And they're not happy: Zeus's lightning bolt has been stolen, and Percy is the prime suspect. Even more troubling is the sudden disappearance of Percy's mother. As Percy finds himself caught between angry and battling gods, he and his friends embark on a cross-country adventure to catch the true lightning thief, save Percy's mom, and unravel a mystery more powerful than the gods themselves."
42,The Adventures Of Sherlock Holmes,Arthur Conan Doyle ,Mystery,1999,"Sherlock Holmes is a private detective who has keen powers of observation. He lives at 221b Baker Street in London. He notices things that others simply don't and then he draws accurate conclusions about what he sees. In Doyle's first Holmes story, A Study in Scarlet, Holmes describes himself as someone who gets in the dumps at times and '(doesn't) open (his) mouth for days on end.' He experiences strong mood swings. He also plays the violin. But most of all, he is a master of deductive reasoning."
43,The Works Of Edgar Allen Poe - Vol 1 ,Edgar Allen Poe,Mystery,2000,"adventure on the high seas,†buried pirate treasure, and a famous†balloon ride. Poe invented the detective story with tales like†""Murders in the Rue Morgue""†and†""The Purloined Letter"". Sherlock Holmes and other fictional detectives would later be based on the characters that Poe created. Poe wrote†love stories†and even a few strange little†comedies. He attempted to explain the composition of the universe in a way that sounds a little like quantum physics."
44,The Works Of Edgar Allen Poe - Vol 2,Edgar Allen Poe,Mystery,2000,"adventure on the high seas,†buried pirate treasure, and a famous†balloon ride. Poe invented the detective story with tales like†""Murders in the Rue Morgue""†and†""The Purloined Letter"". Sherlock Holmes and other fictional detectives would later be based on the characters that Poe created. Poe wrote†love stories†and even a few strange little†comedies. He attempted to explain the composition of the universe in a way that sounds a little like quantum physics."
45,The Works Of Edgar Allen Poe - Vol 3,Edgar Allen Poe,Mystery,2000,"adventure on the high seas,†buried pirate treasure, and a famous†balloon ride. Poe invented the detective story with tales like†""Murders in the Rue Morgue""†and†""The Purloined Letter"". Sherlock Holmes and other fictional detectives would later be based on the characters that Poe created. Poe wrote†love stories†and even a few strange little†comedies. He attempted to explain the composition of the universe in a way that sounds a little like quantum physics."
46,The Works Of Edgar Allen Poe - Vol 4,Edgar Allen Poe,Mystery,2000,"adventure on the high seas,†buried pirate treasure, and a famous†balloon ride. Poe invented the detective story with tales like†""Murders in the Rue Morgue""†and†""The Purloined Letter"". Sherlock Holmes and other fictional detectives would later be based on the characters that Poe created. Poe wrote†love stories†and even a few strange little†comedies. He attempted to explain the composition of the universe in a way that sounds a little like quantum physics."
47,The Works Of Edgar Allen Poe - Vol 5,Edgar Allen Poe,Mystery,2000,"adventure on the high seas,†buried pirate treasure, and a famous†balloon ride. Poe invented the detective story with tales like†""Murders in the Rue Morgue""†and†""The Purloined Letter"". Sherlock Holmes and other fictional detectives would later be based on the characters that Poe created. Poe wrote†love stories†and even a few strange little†comedies. He attempted to explain the composition of the universe in a way that sounds a little like quantum physics."
48,The Murder On The Links ,Agatha Christie,Mystery,1923,"When Hercule Poirot receives an intriguing letter from a foreign millionaire, he sets out right away for the French countryside.† But before he and Captain Hastings arrive the Monsieur Renauld is found dead on a golf course, stabbed in the back.† Who could have done such a thing?† Was it his son, who thought he stood to inherit millions?† The neighbor woman thought to be his mistress?† Or could it be the mysterious girl on the train who calls herself Cinderella?† Soon another body is found dead in a similar manner, and everyoneís theories are thrown out the windowÖ"
49,Angels & Demons ,Dan Brown,Mystery,2000,"Following the murder of a physicist, Father Silvano Bentivoglio, a symbolist, Robert Langdon, and a scientist, Vittoria Vetra, are on an adventure involving a secret brotherhood, the Illuminati. Clues lead them all around the Vatican, including the four altars of science, Earth, Air, Fire and Water. An assassin, working for the Illuminati, has captured four cardinals, and murders each, painfully. Robert and Vittoria also are searching for a new very destructive weapon that could kill millions."
50,"Divergent (Divergent, #1)",Veronica Roth,Mystery,2011,"Set in a futuristic dystopia where society is divided into five factions that each represent a different virtue, teenagers have to decide if they want to stay in their faction or switch to another - for the rest of their lives. Tris Prior makes a choice that surprises everyone. Then Tris and her fellow faction-members have to live through a highly competitive initiation process to live out the choice they have made. They must undergo extreme physical and intense psychological tests, that transform them all. But Tris has a secret that she is Divergent, which means she doesn't fit into any one group. If anyone knew, it would mean a certain death. As she discovers a growing conflict that threatens to unravel her seemingly peaceful society, this secret might help her save the people she loves... or it might destroy her."
51,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",Mystery,2005,"Mikael Blomkvist is a disgraced journalist who is asked by a wealthy industrialist to write a biography on his family. But what he really wants Blomkvist to do is to find out what happened to his niece, who went missing 40 years ago. Blomkvist, at first, is not interested, till the man offers to help him clear his name. Blomkvist, begins by talking to the man's relatives who were there when the girl went missing. And some of them are not forth coming. Blomkvist eventually believes that her disappearance might have something to do with some serial killings that took place 20 years before she disappeared. So he asks for a research assistant. So the industrialist's man suggests Lisbeth Salander, a talented hacker who does background checks for them and who even did one on Blomkvist. When he sees her report, he's impressed and asks her to work with him and she does. She's anti-social but is extremely efficient."
52,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,Mystery,1954,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign."
53,The Lovely Bones,Alice Sebold,Mystery,2002,"A fourteen-year-old girl in suburban 1970's Pennsylvania is murdered by her neighbor. She tells the story from the place between Heaven and Earth, showing the lives of the people around her and how they have changed all while attempting to get someone to find her lost body."
54,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,Mystery,2003,"When respected American religious symbology expert Dr. Robert Langdon is summoned to the Louvre by the French version of the F.B.I., led by Captain Bezu Fache, he soon discovered that he is the number one suspect for the murder of a historian Langdon had been scheduled to meet. Assisted by a French cryptographer and government agent named Sophie, Langdon is challenged to decipher a chain of cryptic codes and puzzles, all the while trying to stay ahead of Fache's lawmen in a chase through the Louvre, and out into the Parisian cityscape, and finally across the channel to England. Can Langdon and Sophie decipher the nature of a secret dating back to Leonardo Da Vinci and earlier before those responsible for the historian's murder add them to their hit list?"
55,Gone Girl,Gillian Flynn,Mystery,2012,"Nick Dunne, a small town guy who made good in the big city as a magazine writer blames the recession and the loss of his job for the decline of his marriage to his intellectually superior wife with a substantial trust fund. Questions of his motives and character begin to arise after his wife's disappearance on the morning of their fifth anniversary. As the search for his missing wife plays out over the ensuing days, guilty suspicions are fueled into a national frenzy by the media circus camped outside his house. Is this idyllic, everyman truly capable of murdering his wife?"
56,"A Game of Thrones (A Song of Ice and Fire, #1)",Audrey Niffenegger,Mystery,2003,"Years after a rebellion spurred by a stolen bride to be and the blind ambitions of a mad King, Robert of the house Baratheon (Mark Addy) sits on the much desired Iron Throne. In the mythical land of Westeros, nine noble families fight for every inch of control and every drop of power. The King's Hand, Jon Arryn (Sir John Standing), is dead. And Robert seeks out his only other ally in all of Westeros, his childhood friend Lord Eddard ""Ned"" Stark. The solemn and honorable Warden of the North is tasked to depart his frozen sanctuary and join the King in the capital of King's Landing to help the now overweight and drunk Robert rule. However, a letter in the dead of night informs ""Ned"" that the former Hand was murdered, and that Robert will be next. So noble Ned goes against his better desires in an attempt to save his friend and the kingdoms. But political intrigue, plots, murders, and sexual desires lead to a secret that could tear the Seven Kingdoms apart. And soon Eddard will find out what happens when you play the Game of Thrones."
57,Pride and Prejudice,Jane Austen,Romance,1998,"This tale of love and values unfolds in the class-conscious England of the late eighteenth century. The five Bennet sisters - including strong-willed Elizabeth (Keira Knightley) and young Lydia (Jena Malone) - have been raised by their mother with one purpose in life: finding a husband. When a wealthy bachelor takes up residence in a nearby mansion, the Bennets are abuzz. Amongst the man's sophisticated circle of friends, surely there will be no shortage of suitors for the Bennet sisters. But when Elizabeth meets up with the handsome and - it would seem - snobbish Mr. Darcy (Matthew Macfadyen), the battle of the sexes is joined."
